error,opt1_time,opt2_time,opt3_time,opt4_time,opt5_time,opt1_thr,opt2_thr,opt3_thr,opt4_thr,opt5_thr
0,0.25782066666666664,0.16755866666666666,0.159313,0.168118,0.23397266666666666,8682065.270276317,13200544.695791824,13059064.471025644,12351379.15922189,11607282.641102426
5,0.253988,0.19846366666666668,0.16271733333333332,5.606789666666667,5.166488,8209040.086771285,10439098.169921892,13386735.87277261,365746.6466639705,395228.75962152233
10,0.19132166666666667,0.287167,0.19958033333333333,12.143458333333333,11.244188,12587288.407661151,7840954.7419806,10264767.031536588,173677.45400443007,181793.96535752836
15,0.14439866666666668,0.12659966666666667,0.15001899999999999,17.017632666666668,16.441141333333334,14446766.022770602,16061153.855842791,13810601.774897562,119518.71951810003,123699.19803183668
20,0.14370366666666667,0.143786,0.13134333333333334,23.184154333333336,23.964923,14536729.867653988,14346611.436105005,15486118.175505692,87747.98448589393,84876.52951793262
25,0.2791266666666667,0.24580733333333335,0.3415816666666667,33.102213,38.48154866666667,8152572.354885651,8656512.435258243,7746539.630591834,61829.102539601365,53090.352290408286
30,0.25341933333333333,0.148167,0.21312533333333333,46.21112933333333,48.475782,8774328.226987667,14058778.950257925,9900410.883683786,44125.439992299864,42064.996491682854
35,0.144315,0.21203366666666665,0.18047933333333332,58.894599666666664,55.441910666666665,14429344.538094286,10512631.567140121,12628499.74829005,34521.96150074893,36855.74205576621
40,0.197635,0.173559,0.14625533333333335,70.293911,68.22474566666666,11326791.58462719,12354048.696824474,14290929.777922843,28974.982866690996,29805.06762129185
45,0.21464166666666668,0.18320566666666666,0.23491133333333333,85.04289433333334,81.54905833333333,10365962.11043145,11602898.651513465,9798224.74021779,23924.20219284519,24955.248791226586
50,0.197334,0.239991,0.21268,103.60498333333334,94.564338,12241528.752780326,10047936.459715605,10770079.764946016,19656.418774085218,21501.592303318903
55,0.14262866666666668,0.21427233333333334,0.13296766666666668,121.22790433333334,115.51951766666667,14499638.72466407,9609953.704346359,15298156.672188245,16771.93104704387,17630.124307982554
60,0.19744566666666669,0.162425,0.15915066666666666,139.870739,141.30582733333333,12246171.990375018,12764361.755729018,13154251.862322494,14540.896158731086,14394.920376589722
